#Organism Name,Strain,Assembly,Level,Size(Mb),GC%,Replicons,GenBank FTP,RefSeq FTP
"Pasteurella multocida","USDA-ARS-USMARC-60714","GCA_002859545.1","Complete",2.34291,40.4,"chromosome:NZ_CP015573.1/CP015573.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/859/545/GCA_002859545.1_ASM285954v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/859/545/GCF_002859545.1_ASM285954v1"
"Mannheimia haemolytica","1383","GCA_007964465.1","Complete",2.69956,41,"chromosome:NZ_CP017543.1/CP017543.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/964/465/GCA_007964465.1_ASM796446v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/964/465/GCF_007964465.1_ASM796446v1"
"Serratia marcescens","SmUNAM836","GCA_001294565.1","Complete",5.23337,59.8174,"chromosome:NZ_CP012685.1/CP012685.1; plasmid pSmUNAM836:NZ_CP012686.1/CP012686.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/565/GCA_001294565.1_ASM129456v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/294/565/GCF_001294565.1_ASM129456v1"
"Proteus mirabilis","CYPV1","GCA_001281565.1","Complete",3.79498,38.8,"chromosome:NZ_CP012675.1/CP012675.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/565/GCA_001281565.1_ASM128156v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/565/GCF_001281565.1_ASM128156v1"
"Enterobacter cloacae","NCTC11571","GCA_900635705.1","Complete",4.55205,55.4,"chromosome 1:NZ_LR134164.1/LR134164.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/705/GCA_900635705.1_32407_E01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/705/GCF_900635705.1_32407_E01"
"Citrobacter freundii","FDAARGOS_549","GCA_003812345.1","Complete",5.10216,51.6776,"chromosome:NZ_CP033744.1/CP033744.1; plasmid unnamed:NZ_CP033743.1/CP033743.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/345/GCA_003812345.1_ASM381234v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/345/GCF_003812345.1_ASM381234v1"
"Enterobacter hormaechei","C15117","GCA_003660125.1","Complete",5.09689,54.9729,"chromosome:NZ_CP032841.1/CP032841.1; plasmid pSPRC-Echo1:NZ_CP032842.1/CP032842.1; plasmid unnamed1:NZ_CP032843.1/CP032843.1; plasmid unnamed2:NZ_CP032844.1/CP032844.1; plasmid unnamed3:NZ_CP032845.1/CP032845.1; plasmid unnamed4:NZ_CP032846.1/CP032846.1; plasmid unnamed5:NZ_CP032847.1/CP032847.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/660/125/GCA_003660125.1_ASM366012v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/660/125/GCF_003660125.1_ASM366012v1"
"Enterobacter hormaechei","S13","GCA_003408555.1","Complete",5.37908,54.8771,"chromosome:NZ_CP031565.1/CP031565.1; plasmid pIncAC2-1301491:NZ_CP031570.1/CP031570.1; plasmid pIncFIB-1301491:NZ_CP031569.1/CP031569.1; plasmid pIncHI2-1301491:NZ_CP031567.1/CP031567.1; plasmid pIncLM-1301491:NZ_CP031566.1/CP031566.1; plasmid pSHV12-1301491:NZ_CP031568.1/CP031568.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/408/555/GCA_003408555.1_ASM340855v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/408/555/GCF_003408555.1_ASM340855v1"
"Citrobacter freundii","FDAARGOS_550","GCA_003812325.1","Complete",4.96914,51.8,"chromosome:NZ_CP033742.1/CP033742.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/812/325/GCA_003812325.1_ASM381232v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/325/GCF_003812325.1_ASM381232v1"
"Enterobacter cloacae","E3442","GCA_003719615.1","Complete",4.72248,55.531,"chromosome:NZ_CP033466.1/CP033466.1; plasmid p3442-FRI-1:NZ_CP033467.1/CP033467.1; plasmid p3442-IMI-2:NZ_CP033468.1/CP033468.1; plasmid p3442-IncR:NZ_CP033469.1/CP033469.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/719/615/GCA_003719615.1_ASM371961v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/719/615/GCF_003719615.1_ASM371961v1"
"Proteus mirabilis","CYPM1","GCA_001281545.1","Complete",3.793,38.8,"chromosome:NZ_CP012674.1/CP012674.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/545/GCA_001281545.1_ASM128154v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/545/GCF_001281545.1_ASM128154v1"
"Serratia marcescens","UMH12","GCA_002220595.1","Complete",5.19681,59.3,"chromosome:NZ_CP018930.1/CP018930.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/595/GCA_002220595.1_ASM222059v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/595/GCF_002220595.1_ASM222059v1"
"Mannheimia haemolytica","1475","GCA_007981005.1","Complete",2.69945,41,"chromosome:NZ_CP017537.1/CP017537.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/981/005/GCA_007981005.1_ASM798100v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/981/005/GCF_007981005.1_ASM798100v1"
"Pasteurella multocida","USDA-ARS-USMARC-60494","GCA_002859245.1","Complete",2.34291,40.4,"chromosome:NZ_CP015558.1/CP015558.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/859/245/GCA_002859245.1_ASM285924v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/859/245/GCF_002859245.1_ASM285924v1"
"Stenotrophomonas maltophilia R551-3","R551-3","GCA_000020665.1","Complete",4.57397,66.3,"chromosome:NC_011071.1/CP001111.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/665/GCA_000020665.1_ASM2066v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/665/GCF_000020665.1_ASM2066v1"
"Klebsiella pneumoniae","AR_0079","GCA_003073335.1","Complete",6.13195,56.6034,"chromosome:NZ_CP028994.1/CP028994.1; plasmid unnamed1:NZ_CP029000.1/CP029000.1; plasmid unnamed2:NZ_CP028999.1/CP028999.1; plasmid unnamed3:NZ_CP028998.1/CP028998.1; plasmid unnamed4:NZ_CP028997.1/CP028997.1; plasmid unnamed5:NZ_CP028996.1/CP028996.1; plasmid unnamed6:NZ_CP028995.1/CP028995.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/073/335/GCA_003073335.1_ASM307333v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/073/335/GCF_003073335.1_ASM307333v1"
"Vibrio parahaemolyticus","FDAARGOS_191","GCA_002073775.2","Complete",5.17329,45.4,"chromosome 1:NZ_CP020427.2/CP020427.2; chromosome 2:NZ_CP020428.2/CP020428.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/775/GCA_002073775.2_ASM207377v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/775/GCF_002073775.2_ASM207377v2"
"Francisella tularensis subsp. holarctica FTNF002-00","FTNF002-00","GCA_000017785.1","Complete",1.89091,32.2,"chromosome:NC_009749.1/CP000803.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/785/GCA_000017785.1_ASM1778v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/785/GCF_000017785.1_ASM1778v1"
"Vibrio cholerae","C5","GCA_001887395.1","Complete",4.10204,47.4574,"chromosome 1:NZ_CP013301.1/CP013301.1; chromosome 2:NZ_CP013302.1/CP013302.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/395/GCA_001887395.1_ASM188739v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/395/GCF_001887395.1_ASM188739v1"
"Legionella pneumophila","OLDA","GCA_001677075.2","Complete",3.61599,38.3677,"chromosome:NZ_CP016030.2/CP016030.2; plasmid unnamed:NZ_CP016031.1/CP016031.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/075/GCA_001677075.2_ASM167707v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/075/GCF_001677075.2_ASM167707v2"
"Acinetobacter baumannii","TG31302","GCA_003949115.2","Complete",4.09936,39.2027,"chromosome:NZ_CP039343.1/CP039343.1; plasmid pTG31302:NZ_CP039344.1/CP039344.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/949/115/GCA_003949115.2_ASM394911v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/949/115/GCF_003949115.2_ASM394911v2"
"Pseudomonas aeruginosa","IMP-13","GCA_003950015.1","Complete",7.17801,65.653,"chromosome:NZ_CP034354.1/CP034354.1; plasmid pPYO_TB:NZ_CP034355.1/CP034355.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/950/015/GCA_003950015.1_ASM395001v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/950/015/GCF_003950015.1_ASM395001v1"
"Shigella flexneri","FDAARGOS_74","GCA_000783735.2","Complete",4.80586,50.6709,"chromosome:NZ_CP026098.1/CP026098.1; plasmid unnamed:NZ_CP026099.1/CP026099.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/783/735/GCA_000783735.2_ASM78373v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/735/GCF_000783735.2_ASM78373v2"
"Pseudomonas putida S12","S12","GCA_000495455.2","Complete",6.38243,61.4432,"chromosome:NZ_CP009974.1/CP009974.1; plasmid pTTS12:NZ_CP009975.1/CP009975.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/495/455/GCA_000495455.2_ASM49545v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/495/455/GCF_000495455.2_ASM49545v2"
"Escherichia coli","2013C-3252","GCA_003018055.1","Complete",5.82329,50.5893,"chromosome:NZ_CP027442.1/CP027442.1; plasmid unnamed1:NZ_CP027443.1/CP027443.1; plasmid unnamed2:NZ_CP027444.1/CP027444.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/018/055/GCA_003018055.1_ASM301805v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/055/GCF_003018055.1_ASM301805v1"
"Haemophilus influenzae","723","GCA_000931625.1","Complete",1.88762,38.2,"chromosome:NZ_CP007472.1/CP007472.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/625/GCA_000931625.1_ASM93162v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/931/625/GCF_000931625.1_ASM93162v1"
"Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:-","PNCS014881","GCA_009017315.1","Complete",5.14191,52.1794,"chromosome:NZ_CP044961.1/CP044961.1; plasmid pPNCS014881.1:NZ_CP044962.1/CP044962.1; plasmid pPNCS014881.2:NZ_CP044963.1/CP044963.1; plasmid pPNCS014881.3:NZ_CP044964.1/CP044964.1; plasmid pPNCS014881.4:NZ_CP044965.1/CP044965.1; plasmid pPNCS014881.5:NZ_CP044966.1/CP044966.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/017/315/GCA_009017315.1_ASM901731v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/017/315/GCF_009017315.1_ASM901731v1"
"Yersinia pestis biovar Medievalis str. Harbin 35","Harbin 35","GCA_000186725.1","Complete",4.7095,47.6065,"chromosome:NC_017265.1/CP001608.1; plasmid pCD:NC_017263.1/CP001609.1; plasmid pMT:NC_017266.1/CP001610.1; plasmid pPCP:NC_017264.1/CP001611.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/725/GCA_000186725.1_ASM18672v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/725/GCF_000186725.1_ASM18672v1"
"Yersinia pestis","Harbin35","GCA_000834275.1","Complete",4.70925,47.6065,"chromosome:NZ_CP009704.1/CP009704.1; plasmid unnamed1:NZ_CP009702.1/CP009702.1; plasmid unnamed2:NZ_CP009703.1/CP009703.1; plasmid unnamed3:NZ_CP009701.1/CP009701.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/275/GCA_000834275.1_ASM83427v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/275/GCF_000834275.1_ASM83427v1"
"Salmonella enterica subsp. enterica serovar Muenster","PJM1","GCA_009184685.1","Complete",5.00036,51.9,"chromosome:NZ_CP045038.1/CP045038.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/184/685/GCA_009184685.1_ASM918468v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/184/685/GCF_009184685.1_ASM918468v1"
"Haemophilus influenzae","PittGG","GCA_008831525.1","Complete",1.88734,38,"chromosome:NZ_CP044497.1/CP044497.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/831/525/GCA_008831525.1_ASM883152v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/831/525/GCF_008831525.1_ASM883152v1"
"Escherichia coli O103 str. RM8385","RM8385","GCA_003112165.1","Complete",5.73281,50.6534,"chromosome:NZ_CP028112.1/CP028112.1; plasmid pRM8385-1:NZ_CP028113.1/CP028113.1; plasmid pRM8385-2:NZ_CP028114.1/CP028114.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/112/165/GCA_003112165.1_ASM311216v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/112/165/GCF_003112165.1_ASM311216v1"
"Pseudomonas putida","IEC33019","GCA_002741075.1","Complete",5.84712,62.2721,"chromosome:NZ_CP016634.1/CP016634.1; plasmid pIEC33019:NZ_CP016446.1/CP016446.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/741/075/GCA_002741075.1_IEC330191.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/741/075/GCF_002741075.1_IEC330191.0"
"Shigella flexneri","SFL1520","GCA_004171185.1","Complete",4.57554,50.9,"chromosome:NZ_CP032513.1/CP032513.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/171/185/GCA_004171185.1_ASM417118v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/171/185/GCF_004171185.1_ASM417118v1"
"Pseudomonas aeruginosa","E6130952","GCA_002085755.1","Complete",7.07741,65.8763,"chromosome:NZ_CP020603.1/CP020603.1; plasmid pJHX613:NZ_CP020602.1/CP020602.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/085/755/GCA_002085755.1_ASM208575v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/085/755/GCF_002085755.1_ASM208575v1"
"Acinetobacter baumannii","BAL062","GCA_900088705.1","Complete",4.05077,39.0925,"chromosome 1:NZ_LT594095.1/LT594095.1; plasmid 2:NZ_LT594096.1/LT594096.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/088/705/GCA_900088705.1_26872B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/088/705/GCF_900088705.1_26872B01"
"Legionella pneumophila subsp. fraseri","D-3137","GCA_003003595.1","Complete",3.47481,38.3,"chromosome:NZ_CP021263.1/CP021263.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/003/595/GCA_003003595.1_ASM300359v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/003/595/GCF_003003595.1_ASM300359v1"
"Vibrio cholerae","CRC711","GCA_001887435.1","Complete",4.05752,47.5164,"chromosome 1:NZ_CP013303.1/CP013303.1; chromosome 2:NZ_CP013304.1/CP013304.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/435/GCA_001887435.1_ASM188743v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/435/GCF_001887435.1_ASM188743v1"
"Francisella tularensis","12T0050_FLI","GCA_002886065.1","Complete",1.89074,32.2,"chromosome:NZ_CP025778.1/CP025778.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/886/065/GCA_002886065.1_ASM288606v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/886/065/GCF_002886065.1_ASM288606v1"
"Vibrio parahaemolyticus","VPD14","GCA_004006515.1","Complete",5.16864,45.4,"chromosome 1:NZ_CP031781.1/CP031781.1; chromosome 2:NZ_CP031782.1/CP031782.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/006/515/GCA_004006515.1_ASM400651v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/006/515/GCF_004006515.1_ASM400651v1"
"Klebsiella pneumoniae","MSB1_8A-sc-2280397","GCA_003432165.1","Complete",6.10991,56.5945,"chromosome:NZ_CP031800.1/CP031800.1; plasmid unnamed1:NZ_CP031801.1/CP031801.1; plasmid unnamed2:NZ_CP031802.1/CP031802.1; plasmid unnamed3:NZ_CP031803.1/CP031803.1; plasmid unnamed4:NZ_CP031804.1/CP031804.1; plasmid unnamed5:NZ_CP031805.1/CP031805.1; plasmid unnamed6:NZ_CP031806.1/CP031806.1; plasmid unnamed7:NZ_CP031807.1/CP031807.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/432/165/GCA_003432165.1_ASM343216v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/432/165/GCF_003432165.1_ASM343216v1"
"Stenotrophomonas maltophilia","NCTC10259","GCA_900636905.1","Complete",4.56388,66.8,"chromosome 1:NZ_LR134324.1/LR134324.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/905/GCA_900636905.1_44982_B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/905/GCF_900636905.1_44982_B01"
"Pasteurella multocida","USDA-ARS-USMARC-59962","GCA_002859485.1","Complete",2.3379,40.4,"chromosome:NZ_CP015570.1/CP015570.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/859/485/GCA_002859485.1_ASM285948v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/859/485/GCF_002859485.1_ASM285948v1"
"Mannheimia haemolytica","32635","GCA_007975765.1","Complete",2.69751,41,"chromosome:NZ_CP017504.1/CP017504.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/975/765/GCA_007975765.1_ASM797576v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/975/765/GCF_007975765.1_ASM797576v1"
"Serratia marcescens","UMH6","GCA_002220675.1","Complete",5.19291,59.5,"chromosome:NZ_CP018926.1/CP018926.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/675/GCA_002220675.1_ASM222067v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/675/GCF_002220675.1_ASM222067v1"
"Citrobacter freundii","R47","GCA_005960425.1","Complete",5.31561,51.4925,"chromosome R47:NZ_CP040698.1/CP040698.1; plasmid pR47-309:NZ_CP040696.1/CP040696.1; plasmid pR47-54:NZ_CP040697.1/CP040697.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/960/425/GCA_005960425.1_ASM596042v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/960/425/GCF_005960425.1_ASM596042v1"
"Enterobacter hormaechei","C4","GCA_008931585.1","Complete",4.97206,55.3422,"chromosome:NZ_CP042540.1/CP042540.1; plasmid pC4_001:NZ_CP042541.1/CP042541.1; plasmid pC4_002:NZ_CP042542.1/CP042542.1; plasmid pC4_003:NZ_CP042543.1/CP042543.1; plasmid pC4_004:NZ_CP042544.1/CP042544.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/931/585/GCA_008931585.1_ASM893158v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/585/GCF_008931585.1_ASM893158v1"
"Enterobacter hormaechei","C44","GCA_008931325.1","Complete",4.96239,55.3452,"chromosome:NZ_CP042566.1/CP042566.1; plasmid pC44_001:NZ_CP042567.1/CP042567.1; plasmid pC44_002:NZ_CP042568.1/CP042568.1; plasmid pC44_003:NZ_CP042569.1/CP042569.1; plasmid pC44_004:NZ_CP042570.1/CP042570.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/931/325/GCA_008931325.1_ASM893132v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/325/GCF_008931325.1_ASM893132v1"
"Citrobacter freundii","CAV1857","GCA_004344985.1","Complete",5.4438,51.4295,"chromosome:NZ_CP037734.1/CP037734.1; plasmid pCAV1857-105:NZ_CP037736.1/CP037736.1; plasmid pCAV1857-1916:NZ_CP037741.1/CP037741.1; plasmid pCAV1857-208:NZ_CP037735.1/CP037735.1; plasmid pCAV1857-3223:NZ_CP037740.1/CP037740.1; plasmid pCAV1857-47:NZ_CP037738.1/CP037738.1; plasmid pKPC_CAV1857-43:NZ_CP037739.1/CP037739.1; plasmid pKPC_CAV1857-85:NZ_CP037737.1/CP037737.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/344/985/GCA_004344985.1_ASM434498v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/344/985/GCF_004344985.1_ASM434498v1"
"Serratia marcescens","UMH7","GCA_002220715.1","Complete",5.36365,59.209,"chromosome:NZ_CP018919.1/CP018919.1; plasmid unnamed3:NZ_CP018920.1/CP018920.1; plasmid unnamed4:NZ_CP018921.1/CP018921.1; plasmid unnamed5:NZ_CP018922.1/CP018922.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/715/GCA_002220715.1_ASM222071v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/715/GCF_002220715.1_ASM222071v1"
"Mannheimia haemolytica","1282","GCA_007966105.1","Complete",2.69402,41,"chromosome:NZ_CP017552.1/CP017552.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/966/105/GCA_007966105.1_ASM796610v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/966/105/GCF_007966105.1_ASM796610v1"
"Pasteurella multocida","USDA-ARS-USMARC-60224","GCA_002859385.1","Complete",2.3378,40.4,"chromosome:NZ_CP015565.1/CP015565.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/859/385/GCA_002859385.1_ASM285938v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/859/385/GCF_002859385.1_ASM285938v1"
"Stenotrophomonas maltophilia","X28","GCA_006974125.1","Complete",4.55422,66.5,"chromosome:NZ_CP037858.1/CP037858.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/974/125/GCA_006974125.1_ASM697412v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/974/125/GCF_006974125.1_ASM697412v1"
"Klebsiella pneumoniae subsp. pneumoniae","ST101:960186733","GCA_001316565.3","Complete",5.84636,56.8784,"chromosome:NZ_CP023487.1/CP023487.1; plasmid p19-10_01:NZ_CP023488.1/CP023488.1; plasmid p19-10_02:NZ_CP023489.1/CP023489.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/565/GCA_001316565.3_ASM131656v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/316/565/GCF_001316565.3_ASM131656v3"
"Vibrio parahaemolyticus","FORC_018","GCA_001887055.1","Complete",5.04556,45.4351,"chromosome I:NZ_CP013826.1/CP013826.1; chromosome II:NZ_CP013827.1/CP013827.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/055/GCA_001887055.1_ASM188705v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/055/GCF_001887055.1_ASM188705v1"
"Francisella tularensis subsp. holarctica F92","F92","GCA_000313385.1","Complete",1.88689,32.2,"chromosome:NC_019537.1/CP003932.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/385/GCA_000313385.1_ASM31338v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/385/GCF_000313385.1_ASM31338v1"
"Vibrio cholerae","E7946","GCA_002749635.1","Complete",4.06307,47.4892,"chromosome 1:NZ_CP024162.1/CP024162.1; chromosome 2:NZ_CP024163.1/CP024163.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/749/635/GCA_002749635.1_ASM274963v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/749/635/GCF_002749635.1_ASM274963v1"
"Legionella pneumophila","ST37","GCA_900119775.1","Complete",3.47464,38.4,"chromosome 1:NZ_LT632616.1/LT632616.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/119/775/GCA_900119775.1_2531STDY5467446","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/119/775/GCF_900119775.1_2531STDY5467446"
"Acinetobacter baumannii","AR_0088","GCA_003006035.1","Complete",4.2283,39.0506,"chromosome:NZ_CP027530.1/CP027530.1; plasmid unnamed1:NZ_CP027531.1/CP027531.1; plasmid unnamed2:NZ_CP027532.1/CP027532.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/006/035/GCA_003006035.1_ASM300603v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/006/035/GCF_003006035.1_ASM300603v1"
"Pseudomonas aeruginosa","K34-7","GCA_003206535.1","Complete",7.04245,65.8774,"chromosome:NZ_CP029707.1/CP029707.1; plasmid pK34-7-1:NZ_CP029708.1/CP029708.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/206/535/GCA_003206535.1_ASM320653v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/206/535/GCF_003206535.1_ASM320653v1"
"Shigella flexneri 5 str. 8401","8401","GCA_000013585.1","Complete",4.57428,50.9,"chromosome:NC_008258.1/CP000266.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/585/GCA_000013585.1_ASM1358v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/585/GCF_000013585.1_ASM1358v1"
"Pseudomonas putida W619","W619","GCA_000019445.1","Complete",5.77433,61.4,"chromosome:NC_010501.1/CP000949.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/445/GCA_000019445.1_ASM1944v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/445/GCF_000019445.1_ASM1944v1"
"Escherichia coli","143","GCA_005221885.1","Complete",5.69747,50.5512,"chromosome:NZ_CP028607.1/CP028607.1; plasmid pTA143:NZ_CP028608.1/CP028608.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/221/885/GCA_005221885.1_ASM522188v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/885/GCF_005221885.1_ASM522188v1"
